title,POLT,ALT,PALT,ETT,AET,director,year,Display
Funny Games,,,,,,Michael Haneke,2007,"Funny Games (Michael Haneke, 2007)"
Das weiße Band,,,,The White Ribbon,,Michael Haneke,2009,"Das weiße Band [The White Ribbon] (Michael Haneke, 2009)"
Amour,,,,,,Michael Haneke,2012,"Amour (Michael Haneke, 2012)"
Cosi fan tutte,,,,,,Michael Haneke,2013,"Cosi fan tutte (Michael Haneke, 2013)"
Happy End,,,,,,Michael Haneke,2017,"Happy End (Michael Haneke, 2017)"
The Baxter,,,,,,Michael Showalter,2005,"The Baxter (Michael Showalter, 2005)"
"Hello, My Name Is Doris",,,,,,Michael Showalter,2015,"Hello, My Name Is Doris (Michael Showalter, 2015)"
The Big Sick,,,,,,Michael Showalter,2017,"The Big Sick (Michael Showalter, 2017)"
Une balle dans le canon,,,,A Bullet in the Gun Barrel,,Michel Deville,1958,"Une balle dans le canon [A Bullet in the Gun Barrel] (Michel Deville, 1958)"
Ce soir ou jamais,,,,Tonight or Never,,Michel Deville,1961,"Ce soir ou jamais [Tonight or Never] (Michel Deville, 1961)"
Adorable Menteuse,,,,Adorable Liar,,Michel Deville,1962,"Adorable Menteuse [Adorable Liar] (Michel Deville, 1962)"
"À cause, à cause d'une femme",,,,"Because, Because of a Woman",,Michel Deville,1963,"À cause, à cause d'une femme [Because, Because of a Woman] (Michel Deville, 1963)"
L'Appartement des filles,,,,Girls' Apartment,,Michel Deville,1963,"L'Appartement des filles [Girls' Apartment] (Michel Deville, 1963)"
Lucky Jo,,,,,,Michel Deville,1964,"Lucky Jo (Michel Deville, 1964)"
"Benjamin, ou les Mémoires d'un puceau",,,,The Diary of an Innocent Boy,,Michel Deville,1968,"Benjamin, ou les Mémoires d'un puceau [The Diary of an Innocent Boy] (Michel Deville, 1968)"
"Bye Bye, Barbara",,,,,,Michel Deville,1969,"Bye Bye, Barbara (Michel Deville, 1969)"
L'Ours et la Poupée,,,,The Bear and the Doll,,Michel Deville,1970,"L'Ours et la Poupée [The Bear and the Doll] (Michel Deville, 1970)"
Raphaël ou le Débauché,,,,"Raphael, or the Debauched One",,Michel Deville,1971,"Raphaël ou le Débauché [Raphael, or the Debauched One] (Michel Deville, 1971)"
La Femme en bleu,,,,The Woman in Blue,,Michel Deville,1973,"La Femme en bleu [The Woman in Blue] (Michel Deville, 1973)"
Le Mouton enragé,,,,Love at the Top,,Michel Deville,1974,"Le Mouton enragé [Love at the Top] (Michel Deville, 1974)"
L'Apprenti salaud,,,,The Apprentice Heel,,Michel Deville,1977,"L'Apprenti salaud [The Apprentice Heel] (Michel Deville, 1977)"
Le Dossier 51,,,,,,Michel Deville,1978,"Le Dossier 51 (Michel Deville, 1978)"
Eaux profondes,,,,Deep Water,,Michel Deville,1981,"Eaux profondes [Deep Water] (Michel Deville, 1981)"
La Petite Bande,,,,The Little Gang,,Michel Deville,1983,"La Petite Bande [The Little Gang] (Michel Deville, 1983)"
Les Capricieux,,,,,,Michel Deville,1984,"Les Capricieux (Michel Deville, 1984)"
Péril en la demeure,,,,Death in a French Garden,,Michel Deville,1985,"Péril en la demeure [Death in a French Garden] (Michel Deville, 1985)"
Paltoquet,,,,,,Michel Deville,1986,"Paltoquet (Michel Deville, 1986)"
La Lectrice,,,,The Reader,,Michel Deville,1988,"La Lectrice [The Reader] (Michel Deville, 1988)"
N.U.,,,,,,Michelangelo Antonioni,1948,"N.U. (Michelangelo Antonioni, 1948)"
Cronaca di un amore,,,,Story of a Love Affair,,Michelangelo Antonioni,1950,"Cronaca di un amore [Story of a Love Affair] (Michelangelo Antonioni, 1950)"
La signora senza camelie,,,,The Lady Without Camelias,,Michelangelo Antonioni,1953,"La signora senza camelie [The Lady Without Camelias] (Michelangelo Antonioni, 1953)"
I vinti,,,,,,Michelangelo Antonioni,1953,"I vinti (Michelangelo Antonioni, 1953)"
Le amiche,,,,,,Michelangelo Antonioni,1955,"Le amiche (Michelangelo Antonioni, 1955)"
Il grido,,,,,,Michelangelo Antonioni,1957,"Il grido (Michelangelo Antonioni, 1957)"
L'avventura,,,,,,Michelangelo Antonioni,1960,"L'avventura (Michelangelo Antonioni, 1960)"
La notte,,,,,,Michelangelo Antonioni,1961,"La notte (Michelangelo Antonioni, 1961)"
L'eclisse,,,,,,Michelangelo Antonioni,1962,"L'eclisse (Michelangelo Antonioni, 1962)"
Il deserto rosso,,,,Red Desert,,Michelangelo Antonioni,1964,"Il deserto rosso [Red Desert] (Michelangelo Antonioni, 1964)"
Blow-Up,,,,,,Michelangelo Antonioni,1966,"Blow-Up (Michelangelo Antonioni, 1966)"
Zabriskie Point,,,,,,Michelangelo Antonioni,1970,"Zabriskie Point (Michelangelo Antonioni, 1970)"
"Chung kuo, Cina",,,,,,Michelangelo Antonioni,1972,"Chung kuo, Cina (Michelangelo Antonioni, 1972)"
Professione: Reporter,,,,The Passenger,,Michelangelo Antonioni,1975,"Professione: Reporter [The Passenger] (Michelangelo Antonioni, 1975)"
Il mistero di Oberwald,,,,The Mystery of Oberwald,,Michelangelo Antonioni,1980,"Il mistero di Oberwald [The Mystery of Oberwald] (Michelangelo Antonioni, 1980)"
Identificazione di una donna,,,,Identification of a Woman,,Michelangelo Antonioni,1982,"Identificazione di una donna [Identification of a Woman] (Michelangelo Antonioni, 1982)"
Al di là delle nuvole,,,,Beyond the Clouds,,Michelangelo Antonioni,1995,"Al di là delle nuvole [Beyond the Clouds] (Michelangelo Antonioni, 1995)"
Lo sguardo di Michelangelo,,,,Michelangelo Eye to Eye,,Michelangelo Antonioni,2004,"Lo sguardo di Michelangelo [Michelangelo Eye to Eye] (Michelangelo Antonioni, 2004)"
Amanda,,,,,,Mikhaël Hers,2018,"Amanda (Mikhaël Hers, 2018)"
Beast from Haunted Cave,,,,,,Monte Hellman,1959,"Beast from Haunted Cave (Monte Hellman, 1959)"
Ride in the Whirlwind,,,,,,Monte Hellman,1966,"Ride in the Whirlwind (Monte Hellman, 1966)"
The Shooting,,,,,,Monte Hellman,1966,"The Shooting (Monte Hellman, 1966)"
Two-Lane Blacktop,,,,,,Monte Hellman,1971,"Two-Lane Blacktop (Monte Hellman, 1971)"
Cockfighter,,,,,,Monte Hellman,1974,"Cockfighter (Monte Hellman, 1974)"
"China 9, Liberty 37",,,,,,Monte Hellman,1978,"China 9, Liberty 37 (Monte Hellman, 1978)"
Iguana,,,,,,Monte Hellman,1988,"Iguana (Monte Hellman, 1988)"
"Silent Night, Deadly Night III: Better Watch Out!",,,,,,Monte Hellman,1989,"Silent Night, Deadly Night III: Better Watch Out! (Monte Hellman, 1989)"
Road to Nowhere,,,,,,Monte Hellman,2010,"Road to Nowhere (Monte Hellman, 2010)"
They Live by Night,,,,,,Nicholas Ray,1948,"They Live by Night (Nicholas Ray, 1948)"
Knock on Any Door,,,,,,Nicholas Ray,1949,"Knock on Any Door (Nicholas Ray, 1949)"
A Woman's Secret,,,,,,Nicholas Ray,1949,"A Woman's Secret (Nicholas Ray, 1949)"
Born to Be Bad,,,,,,Nicholas Ray,1950,"Born to Be Bad (Nicholas Ray, 1950)"
In a Lonely Place,,,,,,Nicholas Ray,1950,"In a Lonely Place (Nicholas Ray, 1950)"
On Dangerous Ground,,,,,,Nicholas Ray,1951,"On Dangerous Ground (Nicholas Ray, 1951)"
The Lusty Men,,,,,,Nicholas Ray,1952,"The Lusty Men (Nicholas Ray, 1952)"
Johnny Guitar,,,,,,Nicholas Ray,1954,"Johnny Guitar (Nicholas Ray, 1954)"
Rebel Without a Cause,,,,,,Nicholas Ray,1955,"Rebel Without a Cause (Nicholas Ray, 1955)"
Run for Cover,,,,,,Nicholas Ray,1955,"Run for Cover (Nicholas Ray, 1955)"
Bigger Than Life,,,,,,Nicholas Ray,1956,"Bigger Than Life (Nicholas Ray, 1956)"
Hot Blood,,,,,,Nicholas Ray,1956,"Hot Blood (Nicholas Ray, 1956)"
Bitter Victory,,Amère victoire,,,,Nicholas Ray,1957,"Bitter Victory [Amère victoire] (Nicholas Ray, 1957)"
Party Girl,,,,,,Nicholas Ray,1958,"Party Girl (Nicholas Ray, 1958)"
Wind Across the Everglades,,,,,,Nicholas Ray,1958,"Wind Across the Everglades (Nicholas Ray, 1958)"
The Savage Innocents,,,,,,Nicholas Ray,1960,"The Savage Innocents (Nicholas Ray, 1960)"
King of Kings,,,,,,Nicholas Ray,1961,"King of Kings (Nicholas Ray, 1961)"
55 Days at Peking,,,,,,Nicholas Ray,1963,"55 Days at Peking (Nicholas Ray, 1963)"
We Can't Go Home Again,,,,,,Nicholas Ray,1973,"We Can't Go Home Again (Nicholas Ray, 1973)"
Lightning Over Water,,,,,,Nicholas Ray & Wim Wenders,1980,"Lightning Over Water (Nicholas Ray & Wim Wenders, 1980)"
Too Much Johnson,,,,,,Orson Welles,1938,"Too Much Johnson (Orson Welles, 1938)"
Citizen Kane,,,,,,Orson Welles,1941,"Citizen Kane (Orson Welles, 1941)"
The Magnificent Ambersons,,,,,,Orson Welles,1942,"The Magnificent Ambersons (Orson Welles, 1942)"
The Stranger,,,,,,Orson Welles,1946,"The Stranger (Orson Welles, 1946)"
The Lady from Shanghai,,,,,,Orson Welles,1948,"The Lady from Shanghai (Orson Welles, 1948)"
Macbeth,,,,,,Orson Welles,1948,"Macbeth (Orson Welles, 1948)"
Othello,,,,,,Orson Welles,1951,"Othello (Orson Welles, 1951)"
Mr. Arkadin,,,,,,Orson Welles,1955,"Mr. Arkadin (Orson Welles, 1955)"
Around the World with Orson Welles,,,,,,Orson Welles,1955,"Around the World with Orson Welles (Orson Welles, 1955)"
The Fountain of Youth,,,,,,Orson Welles,1956,"The Fountain of Youth (Orson Welles, 1956)"
Touch of Evil,,,,,,Orson Welles,1958,"Touch of Evil (Orson Welles, 1958)"
The Trial,,Le Procès,,,,Orson Welles,1962,"The Trial [Le Procès] (Orson Welles, 1962)"
Chimes at Midnight,,Falstaff,,,,Orson Welles,1965,"Chimes at Midnight [Falstaff] (Orson Welles, 1965)"
Une histoire immortelle,,,,The Immortal Story,,Orson Welles,1968,"Une histoire immortelle [The Immortal Story] (Orson Welles, 1968)"
Don Quixote,,,,,,Orson Welles,1972,"Don Quixote (Orson Welles, 1972)"
F for Fake,,,,,,Orson Welles,1973,"F for Fake (Orson Welles, 1973)"
The Other Side of the Wind,,,,,,Orson Welles,1976,"The Other Side of the Wind (Orson Welles, 1976)"
Filming 'Othello',,,,,,Orson Welles,1978,"Filming 'Othello' (Orson Welles, 1978)"
The Dreamers,,,,,,Orson Welles,1982,"The Dreamers (Orson Welles, 1982)"
Laura,,,,,,Otto Preminger,1944,"Laura (Otto Preminger, 1944)"
Fallen Angel,,,,,,Otto Preminger,1945,"Fallen Angel (Otto Preminger, 1945)"
A Royal Scandal,,,,,,Otto Preminger,1945,"A Royal Scandal (Otto Preminger, 1945)"
Daisy Kenyon,,,,,,Otto Preminger,1947,"Daisy Kenyon (Otto Preminger, 1947)"
Forever Amber,,,,,,Otto Preminger,1947,"Forever Amber (Otto Preminger, 1947)"
Whirlpool,,,,,,Otto Preminger,1949,"Whirlpool (Otto Preminger, 1949)"
The Fan,,,,,,Otto Preminger,1949,"The Fan (Otto Preminger, 1949)"
Where the Sidewalk Ends,,,,,,Otto Preminger,1950,"Where the Sidewalk Ends (Otto Preminger, 1950)"
The 13th Letter,,,,,,Otto Preminger,1951,"The 13th Letter (Otto Preminger, 1951)"
Angel Face,,,,,,Otto Preminger,1953,"Angel Face (Otto Preminger, 1953)"
The Moon Is Blue,,,,,,Otto Preminger,1953,"The Moon Is Blue (Otto Preminger, 1953)"
Carmen Jones,,,,,,Otto Preminger,1954,"Carmen Jones (Otto Preminger, 1954)"
River of No Return,,,,,,Otto Preminger,1954,"River of No Return (Otto Preminger, 1954)"
The Man with the Golden Arm,,,,,,Otto Preminger,1955,"The Man with the Golden Arm (Otto Preminger, 1955)"
The Court Martial of Billy Mitchell,,,,,,Otto Preminger,1955,"The Court Martial of Billy Mitchell (Otto Preminger, 1955)"
Saint Joan,,,,,,Otto Preminger,1957,"Saint Joan (Otto Preminger, 1957)"
Bonjour tristesse,,,,,,Otto Preminger,1958,"Bonjour tristesse (Otto Preminger, 1958)"
Anatomy of a Murder,,,,,,Otto Preminger,1959,"Anatomy of a Murder (Otto Preminger, 1959)"
Porgy and Bess,,,,,,Otto Preminger,1959,"Porgy and Bess (Otto Preminger, 1959)"
Exodus,,,,,,Otto Preminger,1960,"Exodus (Otto Preminger, 1960)"
Advise and Consent,,,,,,Otto Preminger,1962,"Advise and Consent (Otto Preminger, 1962)"
The Cardinal,,,,,,Otto Preminger,1963,"The Cardinal (Otto Preminger, 1963)"
Bunny Lake Is Missing,,,,,,Otto Preminger,1965,"Bunny Lake Is Missing (Otto Preminger, 1965)"
In Harm's Way,,,,,,Otto Preminger,1965,"In Harm's Way (Otto Preminger, 1965)"
Hurry Sundown,,,,,,Otto Preminger,1967,"Hurry Sundown (Otto Preminger, 1967)"
Skidoo,,,,,,Otto Preminger,1968,"Skidoo (Otto Preminger, 1968)"
"Tell Me That You Love Me, Junie Moon",,,,,,Otto Preminger,1970,"Tell Me That You Love Me, Junie Moon (Otto Preminger, 1970)"
Such Good Friends,,,,,,Otto Preminger,1971,"Such Good Friends (Otto Preminger, 1971)"
The Human Factor,,,,,,Otto Preminger,1979,"The Human Factor (Otto Preminger, 1979)"
Borom sarret,,Le Charretier,,The Wagoner,,Ousmane Sembène,1963,"Borom sarret [Le Charretier] [The Wagoner] (Ousmane Sembène, 1963)"
La Noire de...,,,,Black Girl,,Ousmane Sembène,1966,"La Noire de... [Black Girl] (Ousmane Sembène, 1966)"
Mandabi,,,,The Money Order,,Ousmane Sembène,1968,"Mandabi [The Money Order] (Ousmane Sembène, 1968)"
Emitaï,,,,,,Ousmane Sembène,1971,"Emitaï (Ousmane Sembène, 1971)"
Xala,,,,,,Ousmane Sembène,1975,"Xala (Ousmane Sembène, 1975)"
Ceddo,,,,The Outsiders,,Ousmane Sembène,1977,"Ceddo [The Outsiders] (Ousmane Sembène, 1977)"
Guelwaar,,,,,,Ousmane Sembène,1992,"Guelwaar (Ousmane Sembène, 1992)"
Faat Kiné,,,,,,Ousmane Sembène,2000,"Faat Kiné (Ousmane Sembène, 2000)"
Moolaadé,,,,,,Ousmane Sembène,2004,"Moolaadé (Ousmane Sembène, 2004)"
Camp de Thiaroye,,,,,,Ousmane Sembène & Thierno Faty Sow,1988,"Camp de Thiaroye (Ousmane Sembène & Thierno Faty Sow, 1988)"
Lonesome,,,,,,Pál Fejős,1928,"Lonesome (Pál Fejős, 1928)"
Broadway,,,,,,Pál Fejős,1929,"Broadway (Pál Fejős, 1929)"
The Last Performance,,,,,,Pál Fejős,1929,"The Last Performance (Pál Fejős, 1929)"
"Marie, légende hongroise",,Tavaszi zápor,,Spring Shower,,Pál Fejős,1932,"Marie, légende hongroise [Tavaszi zápor] [Spring Shower] (Pál Fejős, 1932)"
Sonnenstrahl,,,,Ray of Sunshine,,Pál Fejős,1933,"Sonnenstrahl [Ray of Sunshine] (Pál Fejős, 1933)"
Accattone,,,,,,Pier Paolo Pasolini,1961,"Accattone (Pier Paolo Pasolini, 1961)"
Mamma Roma,,,,,,Pier Paolo Pasolini,1962,"Mamma Roma (Pier Paolo Pasolini, 1962)"
La ricotta,,,,,,Pier Paolo Pasolini,1963,"La ricotta (Pier Paolo Pasolini, 1963)"
Il vangelo secondo Matteo,,,,The Gospel According to St. Matthew,,Pier Paolo Pasolini,1964,"Il vangelo secondo Matteo [The Gospel According to St. Matthew] (Pier Paolo Pasolini, 1964)"
Comizi d'amore,,,,Love Meetings,,Pier Paolo Pasolini,1964,"Comizi d'amore [Love Meetings] (Pier Paolo Pasolini, 1964)"
Uccellacci e uccellini,,,,The Hawks and the Sparrows,,Pier Paolo Pasolini,1966,"Uccellacci e uccellini [The Hawks and the Sparrows] (Pier Paolo Pasolini, 1966)"
Edipo re,,,,Oedipus Rex,,Pier Paolo Pasolini,1967,"Edipo re [Oedipus Rex] (Pier Paolo Pasolini, 1967)"
La terra vista dalla luna,,,,The Earth Seen from the Moon,,Pier Paolo Pasolini,1967,"La terra vista dalla luna [The Earth Seen from the Moon] (Pier Paolo Pasolini, 1967)"
Teorema,,,,Theorem,,Pier Paolo Pasolini,1968,"Teorema [Theorem] (Pier Paolo Pasolini, 1968)"
Che cosa sono le nuvole?,,,,What Are Clouds?,,Pier Paolo Pasolini,1968,"Che cosa sono le nuvole? [What Are Clouds?] (Pier Paolo Pasolini, 1968)"
Medea,,,,,,Pier Paolo Pasolini,1969,"Medea (Pier Paolo Pasolini, 1969)"
Porcile,,,,Pigsty,,Pier Paolo Pasolini,1969,"Porcile [Pigsty] (Pier Paolo Pasolini, 1969)"
La sequenza del fiore di carta,,,,Paper Flower Sequence,,Pier Paolo Pasolini,1969,"La sequenza del fiore di carta [Paper Flower Sequence] (Pier Paolo Pasolini, 1969)"
Appunti per un'Orestiade Africana,,,,Notes Towards an African Orestes,,Pier Paolo Pasolini,1970,"Appunti per un'Orestiade Africana [Notes Towards an African Orestes] (Pier Paolo Pasolini, 1970)"
I racconti di Canterbury,,,,The Canterbury Tales,,Pier Paolo Pasolini,1971,"I racconti di Canterbury [The Canterbury Tales] (Pier Paolo Pasolini, 1971)"
Il Decameron,,,,The Decameron,,Pier Paolo Pasolini,1971,"Il Decameron [The Decameron] (Pier Paolo Pasolini, 1971)"
Il fiore delle mille e una notte,,,,Arabian Nights,,Pier Paolo Pasolini,1974,"Il fiore delle mille e una notte [Arabian Nights] (Pier Paolo Pasolini, 1974)"
Salò o le 120 giornate di Sodoma,,,,"Salò, or the 120 Days of Sodom",,Pier Paolo Pasolini,1975,"Salò o le 120 giornate di Sodoma [Salò, or the 120 Days of Sodom] (Pier Paolo Pasolini, 1975)"
La rabbia,,,,,,Pier Paolo Pasolini & Giovanni Guareschi,1963,"La rabbia (Pier Paolo Pasolini & Giovanni Guareschi, 1963)"
L'Affaire Lafarge,,,,The Lafarge Case,,Pierre Chenal,1938,"L'Affaire Lafarge [The Lafarge Case] (Pierre Chenal, 1938)"
Le Dernier tournant,,,,The Last Turning,,Pierre Chenal,1939,"Le Dernier tournant [The Last Turning] (Pierre Chenal, 1939)"
Christmas in July,,,,,,Preston Sturges,1940,"Christmas in July (Preston Sturges, 1940)"
The Great McGinty,,,,,,Preston Sturges,1940,"The Great McGinty (Preston Sturges, 1940)"
The Lady Eve,,,,,,Preston Sturges,1941,"The Lady Eve (Preston Sturges, 1941)"
Sullivan's Travels,,,,,,Preston Sturges,1941,"Sullivan's Travels (Preston Sturges, 1941)"
The Palm Beach Story,,,,,,Preston Sturges,1942,"The Palm Beach Story (Preston Sturges, 1942)"
Safeguarding Military Information,,,,,,Preston Sturges,1942,"Safeguarding Military Information (Preston Sturges, 1942)"
Hail the Conquering Hero,,,,,,Preston Sturges,1944,"Hail the Conquering Hero (Preston Sturges, 1944)"
The Miracle of Morgan's Creek,,,,,,Preston Sturges,1944,"The Miracle of Morgan's Creek (Preston Sturges, 1944)"
The Great Moment,,,,,,Preston Sturges,1944,"The Great Moment (Preston Sturges, 1944)"
The Sin of Harold Diddlebock,,,,,,Preston Sturges,1947,"The Sin of Harold Diddlebock (Preston Sturges, 1947)"
Unfaithfully Yours,,,,,,Preston Sturges,1948,"Unfaithfully Yours (Preston Sturges, 1948)"
The Beautiful Blonde from Bashful Bend,,,,,,Preston Sturges,1949,"The Beautiful Blonde from Bashful Bend (Preston Sturges, 1949)"
Götter der Pest,,,,Gods of the Plague,,Rainer Werner Fassbinder,1969,"Götter der Pest [Gods of the Plague] (Rainer Werner Fassbinder, 1969)"
Katzelmacher,,,,,,Rainer Werner Fassbinder,1969,"Katzelmacher (Rainer Werner Fassbinder, 1969)"
Liebe ist kälter als der Tod,,,,Love Is Colder Than Death,,Rainer Werner Fassbinder,1969,"Liebe ist kälter als der Tod [Love Is Colder Than Death] (Rainer Werner Fassbinder, 1969)"
Der amerikanische Soldat,,,,The American Soldier,,Rainer Werner Fassbinder,1970,"Der amerikanische Soldat [The American Soldier] (Rainer Werner Fassbinder, 1970)"
Warnung vor einer heiligen Nutte,,,,Beware of a Holy Whore,,Rainer Werner Fassbinder,1970,"Warnung vor einer heiligen Nutte [Beware of a Holy Whore] (Rainer Werner Fassbinder, 1970)"
Die Niklashauser Fahrt,,,,The Niklashausen Journey,,Rainer Werner Fassbinder,1970,"Die Niklashauser Fahrt [The Niklashausen Journey] (Rainer Werner Fassbinder, 1970)"
Das Kaffeehaus,,,,The Coffeehouse,,Rainer Werner Fassbinder,1970,"Das Kaffeehaus [The Coffeehouse] (Rainer Werner Fassbinder, 1970)"
Pioniere in Ingolstadt,,,,Pioneers in Ingolstadt,,Rainer Werner Fassbinder,1971,"Pioniere in Ingolstadt [Pioneers in Ingolstadt] (Rainer Werner Fassbinder, 1971)"
Händler der vier Jahreszeiten,,,,The Merchant of Four Seasons,,Rainer Werner Fassbinder,1971,"Händler der vier Jahreszeiten [The Merchant of Four Seasons] (Rainer Werner Fassbinder, 1971)"
Whity,,,,,,Rainer Werner Fassbinder,1971,"Whity (Rainer Werner Fassbinder, 1971)"
Rio das Mortes,,,,,,Rainer Werner Fassbinder,1971,"Rio das Mortes (Rainer Werner Fassbinder, 1971)"
Die bitteren Tränen der Petra von Kant,,,,The Bitter Tears of Petra von Kant,,Rainer Werner Fassbinder,1972,"Die bitteren Tränen der Petra von Kant [The Bitter Tears of Petra von Kant] (Rainer Werner Fassbinder, 1972)"
Bremer Freiheit,,,,Bremen Freedom,,Rainer Werner Fassbinder,1972,"Bremer Freiheit [Bremen Freedom] (Rainer Werner Fassbinder, 1972)"
Wildwechsel,,,,Jail Bait,,Rainer Werner Fassbinder,1972,"Wildwechsel [Jail Bait] (Rainer Werner Fassbinder, 1972)"
Welt am Draht,,,,World on a Wire,,Rainer Werner Fassbinder,1973,"Welt am Draht [World on a Wire] (Rainer Werner Fassbinder, 1973)"
Angst essen Seele auf,,,,Ali: Fear Eats the Soul,,Rainer Werner Fassbinder,1974,"Angst essen Seele auf [Ali: Fear Eats the Soul] (Rainer Werner Fassbinder, 1974)"
Fontane – Effi Briest,,,,,,Rainer Werner Fassbinder,1974,"Fontane – Effi Briest (Rainer Werner Fassbinder, 1974)"
Martha,,,,,,Rainer Werner Fassbinder,1974,"Martha (Rainer Werner Fassbinder, 1974)"
Nora Helmer,,,,,,Rainer Werner Fassbinder,1974,"Nora Helmer (Rainer Werner Fassbinder, 1974)"
Angst vor der Angst,,,,Fear of Fear,,Rainer Werner Fassbinder,1975,"Angst vor der Angst [Fear of Fear] (Rainer Werner Fassbinder, 1975)"
Faustrecht der Freiheit,,,,Fox and His Friends,,Rainer Werner Fassbinder,1975,"Faustrecht der Freiheit [Fox and His Friends] (Rainer Werner Fassbinder, 1975)"
Mutter Küsters Fahrt zum Himmel,,,,Mother Küsters Goes to Heaven,,Rainer Werner Fassbinder,1975,"Mutter Küsters Fahrt zum Himmel [Mother Küsters Goes to Heaven] (Rainer Werner Fassbinder, 1975)"
Chinesisches Roulette,,,,Chinese Roulette,,Rainer Werner Fassbinder,1976,"Chinesisches Roulette [Chinese Roulette] (Rainer Werner Fassbinder, 1976)"
"Ich will doch nur, daß ihr mich liebt",,,,I Only Want You to Love Me,,Rainer Werner Fassbinder,1976,"Ich will doch nur, daß ihr mich liebt [I Only Want You to Love Me] (Rainer Werner Fassbinder, 1976)"
